tpep_pickup_date,hour_pickup,count
2022-01-10,21,2580
2022-01-10,22,1982
2022-01-10,23,1135
2022-01-11,0,955
2022-01-11,1,432
2022-01-11,2,295
2022-01-11,3,157
2022-01-11,4,153
2022-01-11,5,419
2022-01-11,6,1386
2022-01-11,7,3276
2022-01-11,8,4474
2022-01-11,9,4394
2022-01-11,10,4336
2022-01-11,11,4386
2022-01-11,12,4543
2022-01-11,13,4583
2022-01-11,14,5258
2022-01-11,15,5897
2022-01-11,16,5382
2022-01-11,17,5943
2022-01-11,18,6018
2022-01-11,19,4484
2022-01-11,20,3337
2022-01-11,21,3083
2022-01-11,22,2460
2022-01-11,23,1355
2022-01-12,0,877
2022-01-12,1,409
2022-01-12,2,232
2022-01-12,3,142
2022-01-12,4,178
2022-01-12,5,473
2022-01-12,6,1415
2022-01-12,7,3061
2022-01-12,8,4325
2022-01-12,9,4296
2022-01-12,10,4349
2022-01-12,11,4602
2022-01-12,12,4978
2022-01-12,13,4927
2022-01-12,14,5561
2022-01-12,15,5644
2022-01-12,16,5446
2022-01-12,17,5926
2022-01-12,18,5984
2022-01-12,19,4694
2022-01-12,20,3620
2022-01-12,21,3436
2022-01-12,22,3276
2022-01-12,23,1891
2022-01-13,0,1224
2022-01-13,1,740
2022-01-13,2,389
2022-01-13,3,219
2022-01-13,5,456
2022-01-13,6,1383
2022-01-13,7,3132
2022-01-13,8,4234
2022-01-13,9,4239
2022-01-13,10,4362
2022-01-13,11,4588
2022-01-13,12,4857
2022-01-13,13,5118
2022-01-13,14,5805
2022-01-13,15,6019
2022-01-13,16,5564
2022-01-13,17,6025
2022-01-13,18,6242
2022-01-13,19,5114
2022-01-13,20,4133
2022-01-13,21,3848
2022-01-13,22,3743
2022-01-13,23,2301
2022-01-14,0,1807
2022-01-14,1,1012
2022-01-14,2,673
2022-01-14,3,392
2022-01-14,4,329
2022-01-14,5,568
2022-01-14,6,1429
2022-01-14,7,2905
2022-01-14,8,3842
2022-01-14,9,4082
2022-01-14,10,4236
2022-01-14,11,4586
2022-01-14,12,5024
2022-01-14,13,5216
2022-01-14,14,5808
2022-01-14,15,6354
2022-01-14,16,6013
2022-01-14,17,6631
2022-01-14,18,6838
2022-01-14,19,6621
2022-01-14,20,4821
2022-01-14,21,4597
2022-01-14,22,4924
2022-01-14,23,3740
2022-01-15,0,3749
2022-01-15,1,3102
2022-01-15,2,2305
2022-01-15,3,1507
2022-01-15,4,762
2022-01-15,5,361
2022-01-15,6,786
2022-01-15,7,1144
2022-01-15,8,1657
2022-01-15,9,2776
2022-01-15,10,3846
2022-01-15,11,4508
2022-01-15,12,5203
2022-01-15,13,5533
2022-01-15,14,5534
2022-01-15,15,5777
2022-01-15,16,5982
2022-01-15,17,5996
2022-01-15,18,5596
2022-01-15,19,5341
2022-01-15,20,4219
2022-01-15,21,4036
2022-01-15,22,4348
2022-01-15,23,3683
2022-01-16,0,3569
2022-01-16,1,2921
2022-01-16,2,2071
2022-01-16,3,1394
2022-01-16,4,798
2022-01-16,5,368
2022-01-16,6,604
2022-01-16,7,958
2022-01-16,8,1500
2022-01-16,9,2319
2022-01-16,10,3138
2022-01-16,11,3849
2022-01-16,12,4707
2022-01-16,13,4904
2022-01-16,14,5045
2022-01-16,15,5174
2022-01-16,16,5004
2022-01-16,17,4783
2022-01-16,18,4380
2022-01-16,19,3659
2022-01-16,20,3198
2022-01-16,21,2910
2022-01-16,22,2901
2022-01-16,23,1965
2022-01-17,0,1614
2022-01-17,1,851
2022-01-17,2,444
2022-01-17,3,332
2022-01-17,4,270
2022-01-17,5,340
2022-01-17,6,777
2022-01-17,7,1240
2022-01-17,8,2081
2022-01-17,9,2493
2022-01-17,10,2993
2022-01-17,11,3624
2022-01-17,12,4304
2022-01-17,13,4557
2022-01-17,14,4980
2022-01-17,15,5276
2022-01-17,16,4863
2022-01-17,17,4788
2022-01-17,18,4338
2022-01-17,19,3570
2022-01-17,20,3010
2022-01-17,21,2652
2022-01-17,22,2341
2022-01-17,23,1327
2022-01-18,0,1062
2022-01-18,1,417
2022-01-18,2,236
2022-01-18,3,186
2022-01-18,4,198
2022-01-18,5,489
2022-01-18,6,1637
2022-01-18,7,3310
2022-01-18,8,4612
2022-01-18,9,4707
2022-01-18,10,4772
2022-01-18,11,4849
2022-01-18,12,5032
2022-01-18,13,5229
2022-01-18,14,5776
2022-01-18,15,6025
2022-01-18,16,5644
2022-01-18,17,6186
2022-01-18,18,6267
2022-01-18,19,4910
2022-01-18,20,3900
2022-01-18,21,3468
2022-01-18,22,3296
2022-01-18,23,1523
2022-01-19,0,1048
2022-01-19,1,500
2022-01-19,2,316
2022-01-19,3,192
2022-01-19,4,230
2022-01-19,5,525
2022-01-19,6,1511
2022-01-19,7,3278
2022-01-19,8,4744
2022-01-19,9,4615
2022-01-19,10,4644
2022-01-19,11,4811
2022-01-19,12,4936
2022-01-19,13,5157
2022-01-19,14,5582
2022-01-19,15,5982
2022-01-19,16,5765
2022-01-19,17,6293
2022-01-19,18,6510
2022-01-19,19,5406
2022-01-19,20,4078
2022-01-19,21,3876
2022-01-19,22,3767
2022-01-19,23,1988
2022-01-20,0,1363
2022-01-20,1,677
2022-01-20,2,439
2022-01-20,3,284
2022-01-20,4,238
2022-01-20,5,520
2022-01-20,6,1541
2022-01-20,7,3566
2022-01-20,8,4827
2022-01-20,9,4695
2022-01-20,10,4397
2022-01-20,11,4392
2022-01-20,12,4685
2022-01-20,13,4835
2022-01-20,14,5555
2022-01-20,15,6067
2022-01-20,16,5744
2022-01-20,17,6645
2022-01-20,18,7006
2022-01-20,19,5850
2022-01-20,20,4679
2022-01-20,21,4709
2022-01-20,22,4415
2022-01-20,23,2621
2022-01-21,0,1951
2022-01-21,1,1098
2022-01-21,2,625
2022-01-21,3,378
2022-01-21,4,335
2022-01-21,5,552
2022-01-21,6,1610
2022-01-21,7,3464
2022-01-21,8,4695
2022-01-21,9,4644
2022-01-21,10,4809
2022-01-21,11,5021
2022-01-21,12,5460
2022-01-21,13,5465
2022-01-21,14,6134
2022-01-21,15,6434
2022-01-21,16,6297
2022-01-21,17,7119
2022-01-21,18,7497
2022-01-21,19,7249
2022-01-21,20,4991
2022-01-21,21,4672
2022-01-21,23,3832
2022-01-22,0,4207
2022-01-22,1,3431
2022-01-22,2,2659
2022-01-22,3,1709
2022-01-22,4,851
2022-01-22,5,416
2022-01-22,6,691
2022-01-22,7,1106
2022-01-22,8,1723
2022-01-22,9,2796
2022-01-22,10,3783
2022-01-22,11,4565
2022-01-22,12,5412
2022-01-22,13,5558
2022-01-22,14,5839
2022-01-22,15,6248
2022-01-22,16,6336
2022-01-22,17,6188
2022-01-22,18,6339
2022-01-22,19,6111
2022-01-22,20,4975
2022-01-22,21,4994
2022-01-22,22,5172
2022-01-22,23,4257
2022-01-23,0,4482
2022-01-23,1,4050
2022-01-23,2,3005
2022-01-23,3,2007
2022-01-23,4,1013
2022-01-23,5,438
2022-01-23,6,666
2022-01-23,7,1023
2022-01-23,8,1387
2022-01-23,9,2181
2022-01-23,10,3356
2022-01-23,11,4064
2022-01-23,12,4778
2022-01-23,13,4955
2022-01-23,14,5366
2022-01-23,15,5337
2022-01-23,16,5252
2022-01-23,17,4798
2022-01-23,18,4610
2022-01-23,19,3848
2022-01-23,20,3272
2022-01-23,21,2721
2022-01-23,22,2466
2022-01-23,23,1317
2022-01-24,0,1008
2022-01-24,1,520
2022-01-24,2,288
2022-01-24,3,181
2022-01-24,4,213
2022-01-24,5,518
2022-01-24,6,1541
2022-01-24,7,3258
2022-01-24,8,4535
2022-01-24,9,4503
2022-01-24,10,4349
2022-01-24,11,4185
2022-01-24,12,4583
2022-01-24,13,4681
2022-01-24,14,5393
2022-01-24,15,5708
2022-01-24,16,5334
2022-01-24,17,5898
2022-01-24,18,5841
2022-01-24,19,4689
2022-01-24,20,3600
2022-01-24,21,2988
2022-01-24,22,2681
2022-01-24,23,1343
2022-01-25,0,905
2022-01-25,1,460
2022-01-25,2,240
2022-01-25,3,140
2022-01-25,4,172
2022-01-25,5,503
2022-01-25,6,1529
2022-01-25,7,3531
2022-01-25,8,4643
2022-01-25,9,4580
2022-01-25,10,4482
2022-01-25,11,4746
2022-01-25,12,5084
2022-01-25,13,5061
2022-01-25,14,5541
2022-01-25,15,6021
2022-01-25,16,5749
2022-01-25,17,6402
2022-01-25,18,6781
2022-01-25,19,5625
2022-01-25,20,4297
2022-01-25,21,4432
2022-01-25,22,3750
2022-01-25,23,1843
2022-01-26,0,1102
2022-01-26,1,551
2022-01-26,2,315
2022-01-26,3,207
2022-01-26,4,245
2022-01-26,5,522
2022-01-26,6,1624
2022-01-26,7,3614
2022-01-26,8,5075
2022-01-26,9,4871
2022-01-26,10,4955
2022-01-26,11,5056
2022-01-26,12,5496
2022-01-26,13,5544
2022-01-26,14,6339
2022-01-26,15,6736
2022-01-26,16,6262
2022-01-26,18,7651
2022-01-26,19,6344
2022-01-26,20,4862
2022-01-26,21,4687
2022-01-26,22,4150
2022-01-26,23,2290
2022-01-27,0,1424
2022-01-27,1,727
2022-01-27,2,415
2022-01-27,3,268
2022-01-27,4,239
2022-01-27,5,563
2022-01-27,6,1719
2022-01-27,7,3675
2022-01-27,8,4989
2022-01-27,9,4915
2022-01-27,10,4830
2022-01-27,11,4845
2022-01-27,12,5331
2022-01-27,13,5585
2022-01-27,14,6215
2022-01-27,15,6559
2022-01-27,16,6213
2022-01-27,17,7133
2022-01-27,18,7764
2022-01-27,19,6751
2022-01-27,20,5217
2022-01-27,21,5180
2022-01-27,22,4879
2022-01-27,23,2881
2022-01-28,0,2374
2022-01-28,1,1363
2022-01-28,2,829
2022-01-28,3,511
2022-01-28,4,353
2022-01-28,5,599
2022-01-28,6,1599
2022-01-28,7,3320
2022-01-28,8,4315
2022-01-28,9,4006
2022-01-28,10,4226
2022-01-28,11,4169
2022-01-28,12,4449
2022-01-28,13,5330
2022-01-28,14,6108
2022-01-28,15,6342
2022-01-28,16,5961
2022-01-28,17,6751
2022-01-28,18,7224
2022-01-28,19,6740
2022-01-28,20,4977
2022-01-28,21,4201
2022-01-28,22,4330
2022-01-28,23,3431
2022-01-29,0,3095
2022-01-29,1,2107
2022-01-29,2,1268
2022-01-29,3,824
2022-01-29,4,415
2022-01-29,5,185
2022-01-29,6,177
2022-01-29,7,281
2022-01-29,8,361
2022-01-29,9,515
2022-01-29,10,652
2022-01-29,11,890
2022-01-29,12,962
2022-01-29,13,1107
2022-01-29,14,1284
2022-01-29,15,1530
2022-01-29,16,1731
2022-01-29,17,1973
2022-01-29,18,2474
2022-01-29,19,2776
2022-01-29,20,2484
2022-01-29,21,2439
2022-01-29,22,2500
2022-01-29,23,1825
2022-01-30,0,1953
2022-01-30,1,1630
2022-01-30,2,1345
2022-01-30,3,932
2022-01-30,4,596
2022-01-30,5,268
2022-01-30,6,516
2022-01-30,7,765
2022-01-30,8,1202
2022-01-30,9,1993
2022-01-30,10,3152
2022-01-30,11,4295
2022-01-30,12,5072
2022-01-30,13,5204
2022-01-30,14,5565
2022-01-30,15,5682
2022-01-30,16,5249
2022-01-30,17,5112
2022-01-30,18,5376
2022-01-30,19,3852
2022-01-30,20,3426
2022-01-30,21,3183
2022-01-30,22,2770
2022-01-30,23,1546
2022-01-31,0,1240
2022-01-31,1,640
2022-01-31,2,308
2022-01-31,3,270
2022-01-31,4,350
2022-01-31,5,631
2022-01-31,6,1753
2022-01-31,7,3487
2022-01-31,8,4632
2022-01-31,9,4543
2022-01-31,10,4314
2022-01-31,11,4218
2022-01-31,12,4654
2022-01-31,13,4569
2022-01-31,14,5362
2022-01-31,15,5896
2022-01-31,16,5599
2022-01-31,17,6682
2022-01-31,18,7108
